Symbol,ETF Name,ETFdb.com Category
IECS,iShares Evolved U.S. Consumer Staples ETF,Consumer Staples Equities
TAWK,Direxion Daily Communication Services Index Bull 3X Shares,Leveraged Equities
PXJ,Invesco Dynamic Oil & Gas Services ETF,Energy Equities
BNKD,MicroSectors U.S. Big Banks Index -3x Inverse Leveraged ETN,Leveraged Equities
BNKU,MicroSectors U.S. Big Banks Index 3x Leveraged ETN,Leveraged Equities
SIMS,SPDR S&P Kensho Intelligent Structures ETF,All Cap Equities
ROKT,SPDR S&P Kensho Final Frontiers ETF,All Cap Equities
NEED,Direxion Daily Consumer Staples Bull 3X Shares,Leveraged Equities
SSG,ProShares Ultra Short Semiconductors,Leveraged Equities
FTXR,First Trust Nasdaq Transportation ETF,All Cap Equities
UGE,ProShares Ultra Consumer Goods,Leveraged Equities
REW,ProShares Ultra Short Technology,Leveraged Equities
IEFN,iShares Evolved U.S. Financials ETF,Financials Equities
PASS,Direxion Daily Consumer Discretionary Bear 3X Shares,Leveraged Equities
SMN,ProShares Ultra Short Basic Materials,Leveraged Equities
RORE,Hartford Multifactor REIT ETF,Real Estate
DDG,Short Oil & Gas ProShares,Inverse Equities
SIJ,ProShares Ultra Short Industrials,Leveraged Equities
FTXG,First Trust Nasdaq Food & Beverage ETF,Consumer Staples Equities
SDP,ProShares Ultra Short Utilities,Leveraged Equities
SCC,ProShares Ultra Short Consumer Services,Leveraged Equities
SZK,ProShares Ultra Short Consumer Goods,Leveraged Equities
LACK,Direxion Daily Consumer Staples Bear 3X Shares,Leveraged Equities
SPY,SPDR S&P 500 ETF,Large Cap Blend Equities
IVV,iShares Core S&P 500 ETF,Large Cap Blend Equities
VOO,Vanguard S&P 500 ETF,Large Cap Blend Equities
VUG,Vanguard Growth ETF,Large Cap Blend Equities
VTV,Vanguard Value ETF,Large Cap Blend Equities
IJH,iShares Core S&P Mid-Cap ETF,Small Cap Value Equities
IJR,iShares Core S&P Small-Cap ETF,Small Cap Value Equities
USMV,iShares Edge MSCI Min Vol USA ETF,Large Cap Blend Equities
VO,Vanguard Mid-Cap Index ETF,Mid Cap Blend Equities
IVW,iShares S&P 500 Growth ETF,Large Cap Blend Equities
DIA,SPDR Dow Jones Industrial Average ETF,Large Cap Growth Equities
SCHX,Schwab U.S. Large-Cap ETF,Large Cap Blend Equities
VV,Vanguard Large Cap ETF,Large Cap Blend Equities
IVE,iShares S&P 500 Value ETF,Large Cap Blend Equities
MDY,SPDR S&P MidCap 400 ETF,Small Cap Value Equities
IWP,iShares Russell Midcap Growth ETF,All Cap Equities
SCHD,Schwab US Dividend Equity ETF,Large Cap Growth Equities
RSP,Invesco S&P 500® Equal Weight ETF,All Cap Equities
VBK,Vanguard Small Cap Growth ETF,Small Cap Blend Equities
SCHG,Schwab U.S. Large-Cap Growth ETF,Large Cap Blend Equities
IWS,iShares Russell Midcap Value ETF,Mid Cap Blend Equities
MTUM,iShares Edge MSCI USA Momentum Factor ETF,Large Cap Blend Equities
SPLV,Invesco S&P 500® Low Volatility ETF,Volatility Hedged Equity
VOE,Vanguard Mid-Cap Value ETF,Mid Cap Blend Equities
IUSG,iShares Core S&P U.S. Growth ETF,Large Cap Blend Equities
GSLC,Goldman Sachs ActiveBeta U.S. Large Cap Equity ETF,Large Cap Blend Equities
SPYG,SPDR Portfolio S&P 500 Growth ETF,Large Cap Blend Equities
VOT,Vanguard Mid-Cap Growth ETF,All Cap Equities
ESGU,iShares ESG MSCI USA ETF,Large Cap Blend Equities
MGK,Vanguard Mega Cap Growth ETF,Large Cap Blend Equities
OEF,iShares S&P 100 ETF,Large Cap Blend Equities
IJK,iShares S&P MidCap 400 Growth ETF,Small Cap Value Equities
SCHM,Schwab US Mid-Cap ETF,Mid Cap Blend Equities
IUSV,iShares Core S&P U.S. Value ETF,Large Cap Blend Equities
SCHV,Schwab U.S. Large-Cap Value ETF,Large Cap Blend Equities
TQQQ,ProShares UltraPro QQQ,Leveraged Equities
NOBL,ProShares S&P 500 Aristocrats,Large Cap Blend Equities
SPLG,SPDR Portfolio Large Cap ETF,Large Cap Blend Equities
FTCS,First Trust Capital Strength ETF,Large Cap Blend Equities
VLUE,iShares Edge MSCI USA Value Factor ETF,Large Cap Value Equities
IJS,iShares S&P SmallCap 600 Value ETF,Small Cap Value Equities
SPYV,SPDR Portfolio S&P 500 Value ETF,Large Cap Blend Equities
IJJ,iShares S&P MidCap 400 Value ETF,Small Cap Value Equities
IJT,iShares S&P SmallCap 600 Growth ETF,Small Cap Value Equities
VOOG,Vanguard S&P 500 Growth ETF,Large Cap Blend Equities
MGV,Vanguard Mega Cap Value ETF,Large Cap Blend Equities
MGC,Vanguard Mega Cap ETF,Large Cap Blend Equities
XMLV,Invesco S&P MidCap Low Volatility ETF,Volatility Hedged Equity
QLD,ProShares Ultra QQQ,Leveraged Equities
SUSL,iShares ESG MSCI USA Leaders ETF,Large Cap Blend Equities
USSG,MSCI USA ESG Leaders Equity ETF,Large Cap Blend Equities
SPMD,SPDR S&P 1000 ETF,Small Cap Value Equities
DLN,WisdomTree US LargeCap Dividend ETF,Large Cap Blend Equities
IOO,iShares Global 100 ETF,Large Cap Blend Equities
SSO,ProShares Ultra S&P 500,Leveraged Equities
MDYG,SPDR S&P 400 Mid Cap Growth ETF,Small Cap Value Equities
SLYV,SPDR S&P 600 Small Cap Value ETF,Small Cap Value Equities
SPSM,SPDR Portfolio Small Cap ETF,Small Cap Value Equities
SPYD,SPDR Portfolio S&P 500 High Dividend ETF,Large Cap Blend Equities
JKE,iShares Morningstar Large-Cap Growth ETF,Large Cap Blend Equities
SLYG,SPDR S&P 600 Small Cap Growth ETF,Small Cap Value Equities
SUSA,iShares MSCI USA ESG Select ETF,Large Cap Blend Equities
MDYV,SPDR S&P 400 Mid Cap Value ETF,Small Cap Value Equities
XSLV,Invesco S&P SmallCap Low Volatility ETF,Volatility Hedged Equity
SPXU,ProShares UltraPro Short S&P 500,Leveraged Equities
VOOV,Vanguard S&P 500 Value ETF,Large Cap Blend Equities
SLY,SPDR S&P 600 Small Cap ETF,Small Cap Value Equities
FEX,First Trust Large Cap Core AlphaDEX Fund,Large Cap Blend Equities
IVOO,Vanguard S&P Mid-Cap 400 ETF,Small Cap Value Equities
VIOO,Vanguard S&P Small-Cap 600 ETF,Small Cap Value Equities
PWB,Invesco Dynamic Large Cap Growth ETF,Large Cap Blend Equities
JKD,iShares Morningstar Large-Cap ETF,Large Cap Growth Equities
RWL,Invesco S&P 500 Revenue ETF,Large Cap Blend Equities
PWV,Invesco Dynamic Large Cap Value ETF,Large Cap Blend Equities
IVOG,Vanguard S&P Mid-Cap 400 Growth ETF,Small Cap Value Equities
PEY,Invesco High Yield Equity Dividend Achievers™ ETF,All Cap Equities
EWQ,iShares MSCI France ETF,Europe Equities
FTA,First Trust Large Cap Value AlphaDEX Fund,Mid Cap Blend Equities
FNX,First Trust Mid Cap Core AlphaDEX Fund,Small Cap Value Equities
XMMO,Invesco S&P MidCap Momentum ETF,Mid Cap Value Equities
RPV,Invesco S&P 500® Pure Value ETF,All Cap Equities
CNRG,_State Street SPDR,_Alternative Energy Equities
HAIL,_State Street SPDR,_Global Equities
PPH,_VanEck,_Health & Biotech Equities
SLX,_VanEck,_Materials
